sku_id,item_group_id,link,product_category,title,product_type,product_category_id,title_nouns,product_category_convert,product_type_convert,diff_rate,diff_rate_cat
376787,17011,https://www.habitat.co.uk/misty-teal-blue-fabric-armchair-376787?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwptt&istBid=t,"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs",Misty Teal Blue Acor FaBric Armchair,Sofas & Armchairs > Ready-to-go sofas,6499,fabric teal armchair blue,recliner sleeper arm chair,ready-to-go sofa armchair,53,48
780629,23320,https://www.habitat.co.uk/nona-blue-grey-stoneware-pasta-bowl-d22cm-780629?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwxrlpi&istBid=t,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,Nona Blue Grey Stoneware Pasta Bowl D22Cm,All Kitchen > Tableware > Crockery > Bowls > Pasta BowlsAll Kitchen > Tableware > Crockery > BowlsAll Kitchen > Tableware > CrockeryHabitat Day > Dining & KitchenwareAll Kitchen,3498,grey bowl stoneware pasta blue,kitchen bowl dinnerware garden dining tableware,kitchen bowl crockery dining crockeryhabitat bowlsall pasta day kitchenwareall tableware,53,55
1781725,24580,https://www.habitat.co.uk/tyler-round-ash-and-black-metal-side-table-1781725?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmxqtmrmp&istBid=t,Furniture > Tables > Accent Tables > Coffee Tables,Tyler Round Ash And Black Metal Side Table,Furniture > Living Room > Side tables,1395,side round black table metal ash tyler,accent table coffee,room living side table,53,48
778237,22019,https://www.habitat.co.uk/austin-3-seater-oak-dining-bench-172cm-778237?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwxrmir&istBid=t,Furniture > Benches > Storage & Entryway Benches,Austin 4 Seater Oak Dining Bench,Furniture > Dining Room > Chairs & benches,6851,oak dining bench austin,bench storage entryway,room dining chair bench,53,37
782265,25066,https://www.habitat.co.uk/river-oversized-blue-glass-jar-vase-782265?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmptplxqa&istBid=t,Home & Garden > Decor > Vases,River Oversized Blue Glass Jar Vase,Super Savings > Accessories Super Savings > VasesAccessories > Home accessories > VasesAccessories > Home accessories > Decorative Accessories,602,glas vase jar river blue,garden vase decor,vasesaccessory accessory decorative home super saving accessory,53,47
1785323,26617,https://www.habitat.co.uk/celine-green-velvet-armchair-1785323?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ixqpmrxrr&istBid=t,"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs",Celine Green Velvet Armchair,Sofas & Armchairs > Ready-to-go sofas,6499,armchair velvet green,recliner sleeper arm chair,ready-to-go sofa armchair,53,48
1784973,27155,https://www.habitat.co.uk/clover-orange-patterned-side-table-with-solid-wood-legs-1784973?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=iwqlirrrx&istBid=t,Furniture > Tables > Accent Tables > Coffee Tables,Clover Orange Patterned Side Table With Solid Wood Legs,Furniture > Living Room > Side tables,1395,side table orange leg clover wood solid,accent table coffee,room living side table,53,48
395867,18878,https://www.habitat.co.uk/lucas-red-flat-weave-runner-75-x-250cm-395867?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwpal&istBid=t,Home & Garden > Decor > Rugs,Lucas Red Flatweave Runner 75 X 250Cm,Soft furnishings > Rugs cushions & throws > RugsHabitat Day > RugsNew Lower PricesBACK IN STOCK,598,luca x red runner,garden rug decor,in furnishing cushion stock pricesback rugshabitat throw rug lower day rugsnew,53,50
781457,24212,https://www.habitat.co.uk/kilo-solid-oak-and-white-metal-side-table-781457?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlmmalimx&istBid=t,Furniture > Tables > Accent Tables > Coffee Tables,Kilo White Metal Side Table,Furniture > Living Room > Side tables,1395,side white table metal kilo,accent table coffee,room living side table,53,48
782185,25048,https://www.habitat.co.uk/romy-etched-clear-glass-vase-782185?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmptplxqw&istBid=t,Home & Garden > Decor > Vases,Romy Etched Clear Glass Vase,Super Savings > Accessories Super Savings > VasesAccessories > Home accessories > VasesAccessories > Home accessories > Decorative Accessories,602,glas clear vase,garden vase decor,vasesaccessory accessory decorative home super saving accessory,53,47
