,link,google_product_category,title,product_type,title_nouns,google_product_category_convert,product_type_convert,diff_rate,diff_rate_cat
1851,https://www.habitat.co.uk/hendricks-charcoal-italian-woven-fabric-left-arm-corner-sofa-379229?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalqt&istBid=t,Furniture > Sofas,Hendricks Charcoal Grey Italian Woven FaBric Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,italian fabric corner charcoal grey sofa,sofa,wool armchair by sofa shop material,100,100
1852,https://www.habitat.co.uk/hendricks-black-and-white-italian-woven-fabric-left-arm-corner-sofa-379227?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalqx&istBid=t,Furniture > Sofas,Hendricks Black & White Italian FaBric Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,italian fabric corner black sofa white,sofa,wool armchair by sofa shop material,100,100
1853,https://www.habitat.co.uk/hendricks-natural-italian-woven-fabric-left-arm-corner-sofa-379225?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalqw&istBid=t,Furniture > Sofas,Hendricks Natural Italian Woven FaBric Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,italian fabric corner sofa natural,sofa,wool armchair by sofa shop material,100,100
1854,https://www.habitat.co.uk/hendricks-saffron-yellow-fabric-left-arm-corner-sofa-379214?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalqi&istBid=t,Furniture > Sofas,Hendricks Saffron Yellow FaBric Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,yellow fabric corner saffron sofa,sofa,wool armchair by sofa shop material,100,100
1855,https://www.habitat.co.uk/hendricks-blue-fabric-left-arm-corner-sofa-379212?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalqp&istBid=t,Furniture > Sofas,Hendricks Blue FaBric Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,sofa corner blue fabric,sofa,wool armchair by sofa shop material,100,100
1856,https://www.habitat.co.uk/hendricks-natural-fabric-left-arm-corner-sofa-379209?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalqr&istBid=t,Furniture > Sofas,Hendricks Natural  FaBric Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,sofa corner fabric natural,sofa,wool armchair by sofa shop material,100,100
1857,https://www.habitat.co.uk/hendricks-grey-fabric-left-arm-corner-sofa-379208?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalql&istBid=t,Furniture > Sofas,Hendricks Grey FaBric Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,sofa corner fabric grey,sofa,wool armchair by sofa shop material,100,100
1858,https://www.habitat.co.uk/hendricks-charcoal-fabric-left-arm-corner-sofa-379207?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmxppaw&istBid=t,Furniture > Sofas,Hendricks Charcoal Grey FaBric Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,fabric corner charcoal grey sofa,sofa,wool armchair by sofa shop material,100,100
1859,https://www.habitat.co.uk/hendricks-teal-fabric-left-arm-corner-sofa-379206?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalqm&istBid=t,Furniture > Sofas,Hendricks Teal Blue FaBric Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,fabric teal corner blue sofa,sofa,wool armchair by sofa shop material,100,100
1860,https://www.habitat.co.uk/hendricks-tan-luxury-leather-right-arm-chaise-sofa-379204?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqamrw&istBid=t,Furniture > Sofas,Hendricks Tan Luxury Leather Right Arm Chaise Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,luxury arm tan right leather sofa chaise,sofa,wool armchair by sofa shop material,100,100
1861,https://www.habitat.co.uk/hendricks-light-brown-luxury-leather-right-arm-chaise-sofa-379203?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqamri&istBid=t,Furniture > Sofas,Hendricks Light Brown Luxury Leather Right Arm Chaise Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,luxury arm brown right leather sofa chaise light,sofa,wool armchair by sofa shop material,100,100
1862,https://www.habitat.co.uk/hendricks-grey-luxury-leather-right-arm-chaise-sofa-379202?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqamrp&istBid=t,Furniture > Sofas,Hendricks Grey Luxury Leather Right Arm Chaise Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,luxury arm right leather grey sofa chaise,sofa,wool armchair by sofa shop material,100,100
1863,https://www.habitat.co.uk/hendricks-chocolate-brown-luxury-leather-right-arm-chaise-sofa-379201?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmxppai&istBid=t,Furniture > Sofas,Hendricks Chocolate Brown Luxury Leather Right Arm Chaise Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,luxury chocolate arm brown right leather sofa chaise,sofa,wool armchair by sofa shop material,100,100
1864,https://www.habitat.co.uk/hendricks-chocolate-brown-luxury-leather-left-arm-corner-sofa-379260?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalqq&istBid=t,Furniture > Sofas,Hendricks Chocolate Brown Luxury Leather Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,luxury chocolate brown corner leather sofa,sofa,wool armchair by sofa shop material,100,100
1865,https://www.habitat.co.uk/hendricks-grey-luxury-leather-left-arm-corner-sofa-379261?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalqa&istBid=t,Furniture > Sofas,Hendricks Grey Luxury Leather Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,luxury corner leather grey sofa,sofa,wool armchair by sofa shop material,100,100
1866,https://www.habitat.co.uk/hendricks-light-brown-luxury-leather-left-arm-corner-sofa-379263?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalat&istBid=t,Furniture > Sofas,Hendricks Light Brown Luxury Leather Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,luxury brown corner leather sofa light,sofa,wool armchair by sofa shop material,100,100
1867,https://www.habitat.co.uk/hendricks-dark-grey-luxury-leather-left-arm-corner-sofa-379259?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalai&istBid=t,Furniture > Sofas,Hendricks Dark Grey Luxury Leather Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,luxury corner leather grey sofa dark,sofa,wool armchair by sofa shop material,100,100
1868,https://www.habitat.co.uk/hendricks-grey-leather-left-arm-corner-sofa-379255?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalal&istBid=t,Furniture > Sofas,Hendricks Grey Leather Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,sofa corner leather grey,sofa,wool armchair by sofa shop material,100,100
1869,https://www.habitat.co.uk/hendricks-grey-wool-left-arm-corner-sofa-379248?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalam&istBid=t,Furniture > Sofas,Hendricks Grey Wool Left-Arm Corner Sofa,Sofas & Armchairs > Shop By Material > Wool sofas,sofa wool corner grey,sofa,wool armchair by sofa shop material,100,100
1844,https://www.habitat.co.uk/spencer-grey-wool-4-seater-sofa-oak-legs-348911?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmmqimw&istBid=t,Furniture > Sofas,"Spencer Grey Wool 4 Seater Sofa, Oak Legs",Sofas & Armchairs > Sofas & Armchairs > Shop by collectionSofas & Armchairs,wool leg oak spencer grey sofa,sofa,armchair collectionsofa shop sofa by,100,100
1843,https://www.habitat.co.uk/spencer-red-wool-3-seater-sofa-oak-legs-348904?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqampa&istBid=t,Furniture > Sofas,"Spencer Red Wool 3 Seater Sofa, Oak Legs",Sofas & Armchairs > Sofas & Armchairs > Shop by collectionSofas & Armchairs,wool leg oak spencer red sofa,sofa,armchair collectionsofa shop sofa by,100,100
